species,metabolite,partial_spearman_discovery,partial_spearman_validation,q_bh_family,q_bh_locked,motu_r,motu_p,motu_q,crc_r,crc_p,crc_q,healthy_r,healthy_p,healthy_q,presence_r,presence_p,presence_q,motu_exact,motu_concordant,crc_concordant,presence_concordant,strict_robust
Gemella morbillorum,"C00628_2,5-Dihydroxybenzoate",0.1931726724530641,0.1681647284192118,0.0424804312854263,0.0989287315570438,0.034746613600909276,0.5194586895263258,0.524926675731866,0.1880527867561163,0.021637341005377272,0.0345015380306788,0.08520832853280583,0.3408493497288222,0.3676577255501902,0.08933671535683818,0.0971028352224533,0.10023518474575824,True,True,True,True,False
Gemella morbillorum,C00431_5-Aminovalerate,0.1599462700535694,0.1830810575202645,0.0986580474249947,0.0720612678211938,0.3366390672243004,1.295012116029316e-10,4.972846525552574e-10,0.28477860875189814,0.00043144018832022855,0.0016567303231496777,-0.01335719205332638,0.8815171575015979,0.8881171663792475,0.2577862489121067,1.1730517042310305e-06,3.5191551126930914e-06,True,True,True,True,True
Fusobacterium nucleatum,C08261_Azelate,-0.1850955302631215,-0.1899502090073458,0.053993462845036,0.0615981230481397,-0.34753680037784984,2.939454172421328e-11,1.2269026110975977e-10,-0.0840114499411559,0.308366292156117,0.35241861960699084,-0.17645982849317082,0.04719557426706622,0.06381373422025856,-0.1334179418725922,0.012997036944572594,0.01579386767948062,True,True,True,True,False
Fusobacterium nucleatum,C00576_Betaine aldehyde,-0.1667843339435564,-0.2338377198358592,0.0842589615985877,0.0205492203255441,-0.25591446611260255,1.4097673219028249e-06,2.4167439804048427e-06,0.006135551230152936,0.9408004012128769,0.9408004012128769,-0.18151145111901518,0.041121519924299195,0.05639522732475318,-0.09527882715690984,0.07674318963426069,0.08007985005314158,True,True,False,True,False
Fusobacterium nucleatum,C00294_Inosine,-0.2393222545883513,-0.2776012232949531,0.0105540875853746,0.0054120058517744,-0.18924280580886235,0.00040101386367737845,0.0004583015584884325,-0.17065221812701153,0.03745026268815293,0.0539398388152778,-0.20134307472737223,0.023214576447771317,0.03777287015230587,-0.14588909743384132,0.006559197501646192,0.008177700781273174,True,True,True,True,True
Fusobacterium nucleatum,C01042_N-Acetylaspartate,-0.1878933938232438,-0.1750092765741998,0.050702172779216,0.0870033180965555,-0.2113991599034674,7.404505395221753e-05,9.605844837044436e-05,-0.013926752856723495,0.8661316028746676,0.8845599348507244,-0.26950597561246414,0.002183615957299018,0.00537505466412066,-0.10435831162403181,0.052446466909772914,0.05657146992514831,True,True,True,True,False
Fusobacterium nucleatum,C04501_N-Acetylglucosamine 1-phosphate,-0.1653536503906766,-0.2077006520644632,0.0862105977859186,0.0433434443175753,-0.2034634573875388,0.00013847280456986543,0.00016827074985705166,-0.19763513492754115,0.015691751719305487,0.02690014580452369,-0.21358437849560774,0.0159059808873637,0.027267395806909202,0.010062228601561649,0.8520560661943098,0.8520560661943098,True,True,True,False,False
Fusobacterium nucleatum,C00624_N-Acetylglutamate,-0.1854081592985885,-0.3240637533692561,0.053993462845036,0.0017158330263092,-0.3907685111168933,4.540624651172472e-14,5.448749581406967e-13,-0.06803395274904325,0.40969980484702007,0.4423325122221415,-0.3221665378656644,0.00022099773529626134,0.0007857697254978181,-0.20358385308035,0.00013718804888970912,0.000248491560253058,True,True,True,True,False
Fusobacterium nucleatum,C08277_Sebacate,-0.1875781264346002,-0.3267304769217454,0.0510364170056841,0.0017158330263092,-0.3882489982078756,6.80240588081733e-14,7.255899606205153e-13,0.061330019318985296,0.45746756814731215,0.4879654060237996,-0.23348567076600715,0.008245375131981899,0.016500330406054323,-0.10400308652995727,0.0532592344990182,0.05680985013228607,True,True,False,True,False
Fusobacterium nucleatum,C00398_Tryptamine,0.1870355317708722,0.23313621909498,0.0518904544675353,0.0207016413445107,0.45883904891782373,2.034779957159565e-19,1.9533887588731823e-17,0.2974873804358726,0.00022916129270583206,0.001099974204987994,0.20023939017678233,0.023996635377421055,0.03839461660387369,0.1555501505788689,0.0037244305714812576,0.005038856947817143,True,True,True,True,True
Fusobacterium nucleatum,"C00986_1,3-Diaminopropane",0.1701690156409475,0.3012355200671417,0.0775621803623455,0.0030809256483661,0.18035653217851186,0.0007506874171146833,0.0008379766516629022,0.31637789300198205,8.465739466089144e-05,0.0005418073258297052,0.1896953080297255,0.032674902640092894,0.048258317745367964,0.292895103200421,2.8461636563203963e-08,1.8900864204707343e-07,True,True,True,True,True
