family,feature,prevalence_discovery,n_case_discovery,n_control_discovery,p_discovery,rank_biserial_discovery,log2_median_ratio_discovery,n_case_validation,n_control_validation,p_validation,rank_biserial_validation,log2_median_ratio_validation,n_case_all_descriptive,n_control_all_descriptive,p_all_descriptive,rank_biserial_all_descriptive,log2_median_ratio_all_descriptive,q_discovery_family,discovery_candidate,q_validation_candidates,q_all_descriptive,heldout_reproduced
microbial_KO,K00437,0.5878787878787879,89,76,0.19242991303572876,0.11383796570076887,0.08707296167927164,61,51,0.026537220453716575,0.23111539697846362,0.7309707077730445,150,127,0.019188476396039496,0.15643044619422564,0.3290199770425499,0.7363978070085705,False,,0.30909136567356116,False
microbial_KO,K07183,1.0,89,76,0.1926580529909604,-0.1179775280898876,-0.02747959735068889,61,51,0.03861579356579928,-0.2279009964641594,-0.38282828665941004,150,127,0.01829735615037501,-0.16461942257217843,-0.18282043396777167,0.7363978070085705,False,,0.3005326133197378,False
microbial_KO,K00625,1.0,89,76,0.18823021210696944,-0.1191602602010644,-0.018228054853518263,61,51,0.05312795623513234,0.21311475409836067,0.10792169518347593,150,127,0.7835346080633536,0.01921259842519696,0.008108346391507044,0.7363978070085705,False,,0.9784299460317077,False
microbial_KO,K01159,1.0,89,76,0.18495893171502265,0.12004730928444718,0.06156553591166371,61,51,0.06485716648745016,0.20347155255544846,0.10962477512905881,150,127,0.03311050717938888,0.14866141732283467,0.09891121129376086,0.7363978070085705,False,,0.3915039800578273,False
microbial_KO,K21574,1.0,89,76,0.19154398147404972,-0.11827321111768185,-0.21335516615768838,61,51,0.06744249968604454,0.20154291224686594,0.3242555611973486,150,127,0.8750060502798668,0.011023622047244164,0.048925184438362676,0.7363978070085705,False,,0.9890625099834991,False
microbial_KO,K02556,0.9939393939393939,89,76,0.1871350757720479,-0.11945594322885866,-0.46923528402272535,61,51,0.07193945284686433,-0.19832851173256183,-0.23487171105723853,150,127,0.03373590024618119,-0.14813648293963255,-0.31996933903530383,0.7363978070085705,False,,0.3915039800578273,False
microbial_KO,K01893,1.0,89,76,0.19154398147404972,0.11827321111768185,0.046430704322510084,61,51,0.08585033129638943,0.18932819029251036,0.10388900638023975,150,127,0.03882723491189189,0.14414698162729667,0.05827606184213701,0.7363978070085705,False,,0.41759584661513854,False
microbial_KO,K19335,0.2787878787878788,89,76,0.19056317370072384,0.09373151981076289,0.0,61,51,0.09693690862199174,-0.14593378334940532,0.0,150,127,0.9417583664302905,-0.004094488188976397,0.0,0.7363978070085705,False,,0.991212215375751,False
microbial_KO,K10194,1.0,89,76,0.18495893171502265,-0.12004730928444707,-0.13035077439771237,61,51,0.11603355866386245,-0.17325618772099005,-0.2844934957084539,150,127,0.03812208582652389,-0.14467191601049867,-0.2356327736155864,0.7363978070085705,False,,0.4135139184256885,False
microbial_KO,K04652,0.9939393939393939,89,76,0.19154398147404972,0.11827321111768185,0.18096396575853468,61,51,0.1258325690491509,-0.16875602700096437,-0.19457425773564424,150,127,0.8904504797007561,0.009658792650918624,-0.021130058312251093,0.7363978070085705,False,,0.991212215375751,False
microbial_KO,K13052,0.9878787878787879,89,76,0.1904343603573846,0.11856889414547611,0.3665472096440781,61,51,0.13936452844156894,-0.162970106075217,-0.013956977787740922,150,127,0.9885904150779059,0.0010498687664042272,0.20274973794845774,0.7363978070085705,False,,0.9980079471711956,False
microbial_KO,K19285,0.9272727272727272,89,76,0.19201550709133053,0.11812536960378472,0.45509273619185714,61,51,0.1570702414184611,0.15589842494374806,0.3675539965252612,150,127,0.062182997801451624,0.13007874015748033,0.4377511686079379,0.7363978070085705,False,,0.48144998749587775,False
microbial_KO,K04042,1.0,89,76,0.1871350757720479,0.11945594322885866,0.1096701470574915,61,51,0.15911591808640946,-0.15525554484088722,-0.2337650877387343,150,127,0.8750060502798668,0.011023622047244164,-0.05592597208952415,0.7363978070085705,False,,0.9890625099834991,False
microbial_KO,K00786,0.9212121212121213,89,76,0.18702786732126375,-0.11945594322885866,-0.2742742881960522,61,51,0.18267366835547616,-0.1468981035036966,-0.35431806205145705,150,127,0.06996508743085829,-0.12640419947506565,-0.3520590698844422,0.7363978070085705,False,,0.5103697606979788,False
microbial_KO,K02388,0.9939393939393939,89,76,0.1904346564433934,-0.118568894145476,-0.5180237072189673,61,51,0.18282792048308272,-0.1468981035036966,-0.26946539749159987,150,127,0.06323571446973401,-0.12960629921259847,-0.42642990716652107,0.7363978070085705,False,,0.48363871826236904,False
microbial_KO,K01451,0.4909090909090909,89,76,0.18531461252585846,0.11176818450620929,0.5381175760651444,61,51,0.21125388539185785,-0.1250401800064288,-0.3854224910503297,150,127,0.86970342596059,0.01060367454068234,0.0,0.7363978070085705,False,,0.9890625099834991,False
microbial_KO,K00138,0.5696969696969697,89,76,0.1924229746715661,0.11324659964518036,0.33123452967342587,61,51,0.21402206775593047,-0.13082610093217617,-0.7291661469530382,150,127,0.8571358546400475,0.012073490813648391,-0.008867133625327938,0.7363978070085705,False,,0.9880894217523752,False
