"analysis_id","feature_id","platform","contrast","feature_identification","n_pairs","median_log2_difference","mean_log2_difference","paired_dz","wilcoxon_p","paired_t_p","wilcoxon_q","paired_t_q","analysis_pass","wilcoxon_q_eligible_family","paired_t_q_eligible_family","metabolite","mode","matching_mass","rt_minutes","authentic_standard","identification_tier","source","observed_mass","observed_rt_minutes","mass_error","rt_error_minutes","candidate_count","match_status","publisher_identified","promotion_eligible"
"AN001900","247_641.462275449102","GCMS_positive","paired_HCC_vs_cirrhotic_adjacent","unidentified_mz_rt_feature",10,-1.09829151041137,-1.2833682718356,-0.882224943483247,0.0527870006322246,0.0210593397446368,0.351380135521576,0.231362275855518,TRUE,0.265755244562234,0.178464455596584,"succinic acid","EI",247,10.7,FALSE,"putative_level_2_GC_library_RI","Supplementary Table S3",247,10.6910379241517,0,-0.00896207584830044,2,"high_confidence_mass_rt_match",TRUE,FALSE
"AN001900","247_641.462275449102","GCMS_positive","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",40,-1.36887730521788,-1.4099381106916,-1.26149764205131,2.5398644358245e-07,1.01150130509361e-09,3.2874675904295e-05,1.46667689238573e-07,TRUE,8.94795776337591e-06,4.60144764040584e-08,"succinic acid","EI",247,10.7,FALSE,"putative_level_2_GC_library_RI","Supplementary Table S3",247,10.6910379241517,0,-0.00896207584830044,2,"high_confidence_mass_rt_match",TRUE,TRUE
"AN001900","265_1000.15","GCMS_positive","paired_HCC_vs_cirrhotic_adjacent","unidentified_mz_rt_feature",10,1.0330214309773,0.882248645689225,0.794623862016906,0.0527870006322246,0.0331569102631441,0.351380135521576,0.254074463528046,FALSE,NA,NA,"hypoxanthine","EI",265,16.7,TRUE,"level_1_authentic_standard","Supplementary Table S3",265,16.6691666666667,0,-0.0308333333333337,2,"high_confidence_mass_rt_match",TRUE,FALSE
"AN001900","265_1000.15","GCMS_positive","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",40,0.775256994555003,0.805143916859911,0.737899607059281,8.43895927893357e-05,3.56132589296274e-05,0.0012390535748692,0.000506266916156468,FALSE,NA,NA,"hypoxanthine","EI",265,16.7,TRUE,"level_1_authentic_standard","Supplementary Table S3",265,16.6691666666667,0,-0.0308333333333337,2,"high_confidence_mass_rt_match",TRUE,FALSE
"AN001900","325_1466.80838709677","GCMS_positive","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",40,-1.55338672441766,-1.4920544170068,-1.11023548171956,1.88909952102627e-06,2.00078279974229e-08,8.55998220465027e-05,1.3186977543756e-06,FALSE,NA,NA,"xanthosine","EI",325,24.4,TRUE,"level_1_authentic_standard","Supplementary Table S3",325,24.4468064516128,0,0.0468064516128344,4,"high_confidence_mass_rt_match",TRUE,FALSE
"AN001900","325_1466.80838709677","GCMS_positive","paired_HCC_vs_cirrhotic_adjacent","unidentified_mz_rt_feature",10,-1.57301672794492,-1.59970146101894,-1.47763439284273,0.00592153702414871,0.00116415812301846,0.292088594547451,0.0980311754582979,FALSE,NA,NA,"xanthosine","EI",325,24.4,TRUE,"level_1_authentic_standard","Supplementary Table S3",325,24.4468064516128,0,0.0468064516128344,4,"high_confidence_mass_rt_match",TRUE,FALSE
"AN001901","218.139172537477_34.8179986000061","LCMS_RP_positive","paired_HCC_vs_cirrhotic_adjacent","unidentified_mz_rt_feature",10,-2.63537392802586,-2.93508199889667,-1.52167337249512,0.00592153702414871,0.000957640494187856,0.227630199506574,0.0729402843073084,TRUE,0.109659850664997,0.0248986528488843,"propionylcarnitine","ESI_positive",218.1391,0.6,FALSE,"putative_level_2_MS2","Supplementary Table S3",218.139172537477,0.580299976666768,0.332528542547617,-0.0197000233332316,1,"high_confidence_mass_rt_match",TRUE,FALSE
"AN001901","218.139172537477_34.8179986000061","LCMS_RP_positive","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",37,-2.27068183165049,-2.51519338065878,-1.37695617683483,2.28404645070723e-07,5.64602842503047e-10,1.86394504995215e-05,3.7944632209396e-08,TRUE,5.9385207718388e-06,1.20106422859739e-08,"propionylcarnitine","ESI_positive",218.1391,0.6,FALSE,"putative_level_2_MS2","Supplementary Table S3",218.139172537477,0.580299976666768,0.332528542547617,-0.0197000233332316,1,"high_confidence_mass_rt_match",TRUE,TRUE
"AN001901","258.110022427755_41.2540007925034","LCMS_RP_positive","paired_HCC_vs_cirrhotic_adjacent","unidentified_mz_rt_feature",10,-1.38341493778811,-1.1204739679914,-0.886639508801224,0.0190588916017305,0.0205844459872878,0.227630199506574,0.192782788216611,TRUE,0.109659850664997,0.0890041800563458,"glycerophosphocholine","ESI_positive",258.11,0.7,FALSE,"putative_level_2_MS2","Supplementary Table S3",258.110022427755,0.687566679875057,0.0868922357542214,-0.0124333201249434,2,"high_confidence_mass_rt_match",TRUE,FALSE
"AN001901","258.110022427755_41.2540007925034","LCMS_RP_positive","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",37,-1.69090102859952,-1.78958099206058,-1.04008713157912,3.63044029408532e-06,2.54952769692047e-07,7.6810704370231e-05,5.20149177452078e-06,TRUE,3.69357838615636e-05,3.13994463725995e-06,"glycerophosphocholine","ESI_positive",258.11,0.7,FALSE,"putative_level_2_MS2","Supplementary Table S3",258.110022427755,0.687566679875057,0.0868922357542214,-0.0124333201249434,2,"high_confidence_mass_rt_match",TRUE,TRUE
