gene,mean_logCPM_control,mean_logCPM_GCA,log2FC_GCA_vs_control,welch_t,p_welch,q_bh
RAPGEF1,6.844228645275243,7.284840343123005,0.44061169784776144,12.964278627931243,0.0002632438375708843,0.03266030161234844
TM7SF2,5.424891829140253,6.880253211482372,1.4553613823421188,14.40110010394872,0.00027143965661820843,0.03317858562902407
TIGD5,5.343282720826328,6.16890495909891,0.8256222382725822,22.294510100851447,0.00027343779867476366,0.03317858562902407
C17orf49,5.688376317171742,6.137303126586034,0.4489268094142922,13.18324568042333,0.0002773366205585197,0.03317858562902407
THRA,5.756145331298778,6.318283982916289,0.5621386516175111,11.986339730958766,0.0002779083426848322,0.03317858562902407
RHBDD2,6.477239572000731,7.17382010255183,0.696580530551099,12.04451922593876,0.0002853328171976226,0.033636862972368994
ARF4,7.713757918391955,7.33430902246532,-0.3794488959266351,-12.006422715000763,0.00028706291592381285,0.033636862972368994
BMP4,6.972687405798122,7.782081538443944,0.8093941326458225,11.891545753578729,0.0002956075810539348,0.03377635939419262
MAP4K1,1.4647725298699328,2.434588286921358,0.9698157570514252,13.65078391771633,0.0002962922697039301,0.03377635939419262
CAPN5,4.317090992369505,5.72205769365632,1.4049667012868152,19.361500502775307,0.0003055144034524997,0.03377635939419262
SMIM5,-0.8164768725616725,1.7483286981040456,2.564805570665718,12.992254917970405,0.0003073032205794967,0.03377635939419262
TBC1D30,4.5422594716829465,3.869319526635896,-0.6729399450470503,-12.587906929441182,0.00030881574582559176,0.03377635939419262
NTNG2,1.5525892798557477,3.085334531297524,1.5327452514417765,11.693298007448178,0.00031010074032108867,0.03377635939419262
UBE2L6,4.854658604394381,5.839631808756095,0.9849732043617134,12.313268918641802,0.0003111214148534002,0.03377635939419262
PPP1R14C,3.7152465051331274,3.2731754393431873,-0.44207106578994004,-11.663538886375004,0.0003124589390151485,0.03377635939419262
HLA-DMA,2.8884359290012998,3.807387574055778,0.9189516450544781,12.723805424413827,0.0003132616290709531,0.03377635939419262
PGLS,6.2592689351621615,7.008918864064931,0.7496499289027696,30.09259604400234,0.0003149435328735464,0.03377635939419262
TAGLN2,7.991019536129066,8.664716292996806,0.6736967568677397,11.707598770435235,0.0003184271028244854,0.03386298307767952
OTULIN,4.3716033092822295,3.787914597089221,-0.5836887121930086,-13.928663314509254,0.0003224345966197727,0.03400341516852687
TMEM184B,7.2637122529879,7.852222792935863,0.5885105399479631,11.860802469384785,0.0003333837591713176,0.03455989570906101
MELK,5.764852061228287,4.637494312495609,-1.1273577487326776,-11.46522110160497,0.0003354650995253757,0.03455989570906101
VPS28,6.828273831686812,7.602378292748489,0.7741044610616772,11.546196328207413,0.0003359041621662982,0.03455989570906101
STRA6,-0.40061266136034995,2.3591139534618493,2.759726614822199,12.317537288031717,0.0003533816310084674,0.035943950119914254
GATA2,4.6364057181798,5.681497429063252,1.0450917108834519,11.659263917768328,0.0003564007768693286,0.035943950119914254
ZBTB21,4.325312329875257,3.335761479085978,-0.989550850789279,-11.321153286621369,0.0003603206565717178,0.035943950119914254
UTP6,4.749287150176031,3.739919248629443,-1.0093679015465886,-16.096662895016003,0.00036071763454990994,0.035943950119914254
PTGES,5.252939322369557,7.327182832849787,2.0742435104802297,11.43695404067748,0.0003679625364272362,0.03637942108192714
SLC35B2,6.98572129838448,7.627883379571496,0.6421620811870161,13.48666082763131,0.00037112029627061596,0.036407188754299574
CAPG,7.779774409042937,8.260926873153869,0.4811524641109317,12.363073342674074,0.00037938174991900307,0.036891479885400744
MAPK11,4.794594451537626,5.236477627756249,0.4418831762186226,11.721530625770178,0.00038423333729099845,0.036891479885400744
ABTB2,4.664899479901155,5.7185181438228225,1.0536186639216671,12.562309938275147,0.0003866310052942178,0.036891479885400744
