celltype,gene,paired_n,median_difference,mean_difference,t_p,wilcoxon_p,t_q_within_celltype
Hepatocyte,PCNA,8,0.6552510047743865,0.7666186063091421,0.069670390465711,0.1953125,0.15983207224486642
Hepatocyte,PCYT1A,8,0.3041046586583198,-0.04343737271830406,0.9004961675959455,0.7421875,0.9241934351642599
Hepatocyte,PEMT,8,-0.7688766498796618,-0.24041407145739552,0.7880698839865355,0.546875,0.8739634765307955
Hepatocyte,SLC10A1,8,-1.595126693506964,-1.5035029944991134,0.1733675704359391,0.25,0.30733342031825567
Hepatocyte,SLC44A1,8,0.07572368594451184,0.11564186173469554,0.8170153321612814,0.9453125,0.8739634765307955
Hepatocyte,SLC51A,8,0.7166336145344271,0.750091339266006,0.5440002021504087,0.4609375,0.7315864787539978
Hepatocyte,STAT1,8,-1.4646371072858368,-1.0923801733077516,0.036937292950296303,0.078125,0.13761886170769655
Hepatocyte,STAT2,8,-0.594590008043977,-0.6884581936325445,0.05670257644019757,0.0546875,0.14742669874451367
Hepatocyte,TDO2,8,-0.6767073509914869,-0.9839562878846402,0.43399206343752905,0.546875,0.6044889455022726
Hepatocyte,TOP2A,8,2.8150951062665905,2.2797650012115027,0.026369172579364355,0.0390625,0.13761886170769655
Myeloid,AHR,8,-0.03718247652695128,0.1457309187409117,0.7080356617173099,0.84375,0.7333226496357853
Myeloid,ARNT,8,-0.2380840677519913,-0.1600112291129473,0.45433652704814853,0.546875,0.5489899701831794
Myeloid,CDK1,8,1.8171608454195498,1.6469544058547712,0.005661825816128287,0.015625,0.02345613552396005
Myeloid,CHKA,8,-0.4475352795877354,-0.4862463840015783,0.03715900353745233,0.0546875,0.0898009252155098
Myeloid,CHKB,8,-0.16120355306685408,-0.2851271532295605,0.27087114606261514,0.4609375,0.37406015408646853
Myeloid,CYP1B1,8,-0.73883521087749,-0.6908788530421459,0.15577135613714257,0.1953125,0.26572760752806673
Myeloid,GPBAR1,8,-1.8842868765174519,-2.2326172656099437,0.012266835218554846,0.0078125,0.03557382213380905
Myeloid,GPCPD1,8,-0.5190874571633941,-0.6615325036822547,0.004688010050746136,0.0078125,0.022658715245272992
Myeloid,IDO1,8,-2.556442974929281,-2.946037167115951,0.007201144870294086,0.0078125,0.026104150154816062
Myeloid,IFI27,8,-1.2176948128774963,-1.5766184805374608,0.04777472427293535,0.078125,0.10657438491654808
Myeloid,IFI6,8,-0.5432545697860705,-0.5518943167621571,0.13503436906778252,0.1484375,0.2491268617339289
Myeloid,IFIT1,8,-0.827860976451821,-1.4969097970679701,0.13744930302561595,0.1484375,0.2491268617339289
Myeloid,IFIT2,8,-0.39897165687807234,-0.6603507533768538,0.18738595423807197,0.25,0.30189959293911595
Myeloid,IFIT3,8,-0.3475450831739064,-0.681727152960419,0.21469602671620733,0.3828125,0.32769393551421117
Myeloid,IRF7,8,-1.2964333393446776,-1.3384210799976786,0.0005685005892074977,0.0078125,0.010616055183721933
Myeloid,ISG15,8,-0.008634103163668527,-0.12964309792401996,0.630435185993959,0.84375,0.6771340886601782
Myeloid,LPCAT1,8,-0.40571278281417555,-0.4635916674267292,0.056130640205151974,0.0546875,0.11627061185352909
Myeloid,LPCAT2,8,-0.9271625163979094,-0.8277631786473719,0.002455820755798932,0.015625,0.017334200449095276
Myeloid,MX1,8,-0.7242762094217308,-0.8377204488850667,0.034954067634031256,0.015625,0.0898009252155098
Myeloid,OAS1,8,0.05851489532701226,-0.28150607537018096,0.36866382397627645,0.84375,0.46483699544834856
Myeloid,OAS2,8,-0.978924791414649,-1.094392703250456,0.0007321417368084092,0.0078125,0.010616055183721933
Myeloid,PCNA,8,0.6766215071850108,0.8171842946358658,0.00916929593758598,0.0078125,0.029545509132221495
Myeloid,PCYT1A,8,-0.0806619035526337,-0.11255036976431532,0.604430367258462,0.640625,0.6741723327113613
Myeloid,PEMT,8,0.22460502017822437,0.18081418159949558,0.5094591858385369,0.3828125,0.5909726555727027
Myeloid,SLC44A1,8,0.1535768608300554,0.32728059508101365,0.23582164324043697,0.3828125,0.3419413826986336
Myeloid,STAT1,8,0.04238446135665219,0.06679004714765835,0.7478443708781016,0.7421875,0.7478443708781015
Myeloid,STAT2,8,-0.866569238991886,-0.8084768858708228,0.0016626775887864853,0.015625,0.016072550024936023
Myeloid,TDO2,8,0.9262736908177985,1.0234092035287947,0.33371760466220224,0.4609375,0.4399004788729029
Myeloid,TOP2A,8,2.6829532227782025,2.4267756518553227,0.0029886552498440133,0.0078125,0.017334200449095276
T/NK,AHR,8,1.0306570426806392,0.7805661861668588,0.07983297178676967,0.078125,0.16536829870116573
T/NK,ARNT,8,0.24754063348772193,0.2965113091068679,0.28659775247267205,0.3828125,0.41536192346924267
T/NK,AURKB,8,1.5403687557840104,1.3273903253374975,0.010831990412408227,0.0234375,0.03141277219598386
T/NK,CCNB1,8,2.376425056407325,1.901227131567166,0.1007706606359803,0.1953125,0.18136118309988986
T/NK,CCNB2,8,2.3405155002268203,2.1834280775639208,0.0054200467266313675,0.015625,0.022983439828815927
T/NK,CDK1,8,2.164232362973708,2.088389817530308,2.8399895610824137e-05,0.0078125,0.0008235969727139
T/NK,CHKA,8,0.22604923774309915,0.14880071010651363,0.6486568854894952,0.640625,0.7524419871678144
T/NK,CHKB,8,-0.31474325533063174,-0.3339762736511209,0.02365170049914757,0.0390625,0.06235448313411633
T/NK,GPCPD1,8,-0.9613001306726121,-1.1172347992775147,0.00034826391851900616,0.0078125,0.002693389245221465
T/NK,IFI27,8,-0.10583956266602979,0.03420499742835681,0.9714273111589147,1.0,0.9727428383831097
T/NK,IFI6,8,0.7334054252182103,0.3937285443453903,0.32196618602035715,0.3828125,0.42440997248137985
T/NK,IFIT1,8,0.5547958537437233,0.16812962464452527,0.807353792119905,0.4609375,0.900509998902971
T/NK,IFIT2,8,-0.8975679392462673,-0.8602435865100624,0.10631517629993543,0.109375,0.18136118309988986
T/NK,IFIT3,8,-0.10230175659135865,-0.04362910766941672,0.8999060076788414,0.84375,0.9665657119513482
T/NK,IRF7,8,-0.8431962739735028,-0.689869794324818,0.006106642984086938,0.0234375,0.022983439828815927
T/NK,ISG15,8,-0.4537170863858191,-0.3926398844547666,0.09843617041648513,0.078125,0.18136118309988986
T/NK,LPCAT1,8,-2.2603722270388187,-2.1996216779570856,0.00025327581189567717,0.0078125,0.002693389245221465
T/NK,MKI67,8,1.8675871701833304,1.6574941990677767,0.0003715019648581331,0.0078125,0.002693389245221465
T/NK,MX1,8,-0.2553986124857126,-0.3047357205076723,0.22559638576683297,0.3828125,0.34433132564411345
T/NK,OAS1,8,1.0351937297818654,1.0846290540475623,0.010062792557200866,0.015625,0.03141277219598386
T/NK,OAS2,8,-0.8845651527229561,-0.6484057139838119,0.030185243313356022,0.0390625,0.07294767134061038
T/NK,PCNA,8,0.6126882591599943,0.7367272807892778,0.006340259263121635,0.0078125,0.022983439828815927
T/NK,PCYT1A,8,-0.07799414464052035,-0.1248746981877284,0.6012324135585259,0.4609375,0.7264891663832187
T/NK,PEMT,8,0.7405304644460942,-0.02312310451493199,0.9727428383831097,0.7421875,0.9727428383831097
T/NK,SLC44A1,8,0.34267855342995523,0.4988272683428019,0.06768537208259774,0.078125,0.15099044541502574
T/NK,STAT1,8,-0.33261958051090534,-0.17991714251843494,0.3878368232556936,0.3828125,0.48901164671370057
T/NK,STAT2,8,-0.23481832321161256,-0.2820135863865337,0.30077932389152057,0.4609375,0.41536192346924267
T/NK,TDO2,8,3.6645164379631088,2.690810318499654,0.14719684568677055,0.1484375,0.23715047360646369
T/NK,TOP2A,8,2.138077424161761,2.2082425090525923,0.0008651190510338665,0.0078125,0.005017690495996425
