celltype,program,genes_detected,omitted_patient,retained_n,mean_difference,median_difference,paired_t_p
T/NK,choline_phospholipid_metabolism,7,HCC06,7,-0.3285635888843368,-0.26907272845243835,0.13445242322881706
T/NK,choline_phospholipid_metabolism,7,HCC07,7,-0.29961124363562114,-0.26907272845243835,0.14546939810589468
T/NK,choline_phospholipid_metabolism,7,HCC08,7,-0.43960397294490366,-0.5244867329839543,0.04596710845565524
T/NK,choline_phospholipid_metabolism,7,HCC09,7,-0.4157971318362352,-0.5244867329839543,0.06684686719821238
T/NK,choline_phospholipid_metabolism,7,HCC10,7,-0.3797013889204269,-0.5244867329839543,0.09827317040746564
T/NK,type_i_interferon_response,12,HCC03,7,-0.18448783715455638,-0.23355796494766412,0.5240754498346019
T/NK,type_i_interferon_response,12,HCC04,7,-0.03677915391669252,-0.21951836324082333,0.8659918790430733
T/NK,type_i_interferon_response,12,HCC05,7,-0.1824821797678648,-0.21951836324082333,0.528361991721502
T/NK,type_i_interferon_response,12,HCC06,7,-0.11368981601211679,-0.21951836324082333,0.6756842245039386
T/NK,type_i_interferon_response,12,HCC07,7,-0.1759106055466026,-0.21951836324082333,0.5423784783736616
T/NK,type_i_interferon_response,12,HCC08,7,-0.2122043371736503,-0.23355796494766412,0.4641977220728707
T/NK,type_i_interferon_response,12,HCC09,7,-0.23808309772477992,-0.23355796494766412,0.4066770953893299
T/NK,type_i_interferon_response,12,HCC10,7,-0.3672961960264544,-0.23355796494766412,0.08585570819719067
T/NK,cell_cycle,7,HCC03,7,1.3208652834529868,1.4183880541387115,0.0032167562297918248
T/NK,cell_cycle,7,HCC04,7,1.1141470724556608,1.1012117354043462,0.0035890079956449367
T/NK,cell_cycle,7,HCC05,7,1.2301147070726473,1.1012117354043462,0.005292677805742596
T/NK,cell_cycle,7,HCC06,7,1.2844992094275898,1.4183880541387115,0.004247782408566777
T/NK,cell_cycle,7,HCC07,7,1.4419137492887306,1.4183880541387115,0.00028432114461243024
T/NK,cell_cycle,7,HCC08,7,1.183754656834435,1.1012117354043462,0.00535359519386171
T/NK,cell_cycle,7,HCC09,7,1.1784707153662066,1.1012117354043462,0.005299401941872729
T/NK,cell_cycle,7,HCC10,7,1.2754256097489853,1.4183880541387115,0.004474926358567564
